|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
0|"10142588|2020-01-29|Masculino|1993-10-03|gato|quente|Chá|Assistir TV"
1|"10142976|2020-01-29|Masculino|1991-02-19|cachorro|quente|Cerveja|Escrever"
2|"10143146|2020-01-29|Feminino|1979-04-25|cachorro|quente|Cerveja|Escrever"
3|"10143154|2020-01-29|Feminino|1998-03-16|cachorro|quente|refrigerante|Ler livros"
4|"10143323|2020-01-29|Masculino|1995-07-31|tartaruga|frio|Chá|Escutar música"
0|"10141788|2020-03-27|Feminino|1954-12-15|peixe|moderado|refrigerante|Dormir"
1|"10142432|2020-03-27|Masculino|1983-01-28|tartaruga|moderado|Chá|Escrever"
2|"10142946|2020-03-27|Masculino|1971-07-19|tartaruga|moderado|refrigerante|Escrever"
3|"10142970|2020-03-27|Masculino|1953-05-08|tartaruga|moderado|Água|Assistir TV"
0|"10142253|2020-02-01|Masculino|1997-01-16|gato|moderado|Café|Escutar música"
1|"10142335|2020-02-01|Masculino|1951-05-01|gato|quente|Cerveja|Dormir"
2|"10142369|2020-02-01|Masculino|1954-11-01|gato|frio|Cerveja|Escutar música"
3|"10142511|2020-02-01|Masculino|1971-11-01|peixe|quente|Vinho|Escutar música"
4|"10143436|2020-02-01|Feminino|1976-10-01|peixe|moderado|Café|Escrever"
0|"10141702|2020-08-07|Feminino|1982-05-23|tartaruga|frio|Chá|Escrever"
1|"10141753|2020-08-07|Masculino|1978-01-10|gato|moderado|Café|Praticar esporte"
2|"10142123|2020-08-07|Feminino|1988-05-27|gato|quente|refrigerante|Praticar esporte"
3|"10142202|2020-08-07|Masculino|1999-10-22|peixe|quente|Chá|Dormir"
4|"10142607|2020-08-07|Feminino|1963-10-10|tartaruga|frio|Água|Escutar música"
0|"10142111|2020-05-24|Feminino|1981-06-29|peixe|moderado|Vinho|Dormir"
0|"10141665|2020-12-08|Masculino|1970-02-01|cachorro|moderado|Água|Praticar esporte"
1|"10142158|2020-12-08|Masculino|1954-02-15|gato|quente|Vinho|Escutar música"
2|"10142223|2020-12-08|Masculino|1977-02-24|gato|moderado|Chá|Escrever"
3|"10142492|2020-12-08|Masculino|1973-05-25|peixe|moderado|Chá|Ler livros"
4|"10142708|2020-12-08|Masculino|1993-09-17|peixe|moderado|Vinho|Aprender algo novo"
5|"10142762|2020-12-08|Masculino|1957-09-21|gato|quente|Café|Aprender algo novo"
6|"10143047|2020-12-08|Masculino|1987-12-14|tartaruga|frio|Chá|Aprender algo novo"
7|"10143188|2020-12-08|Masculino|1963-07-02|gato|frio|Cerveja|Pintar quadros"
8|"10143370|2020-12-08|Masculino|1987-11-25|cachorro|frio|refrigerante|Ler livros"
0|"10142416|2020-12-31|Masculino|1996-05-07|gato|frio|Cerveja|Pintar quadros"
1|"10142475|2020-12-31|Masculino|1955-05-30|peixe|quente|Café|Praticar esporte"
2|"10142522|2020-12-31|Masculino|1954-12-22|peixe|moderado|Cerveja|Praticar esporte"
3|"10142881|2020-12-31|Masculino|1952-07-30|gato|frio|refrigerante|Assistir TV"
4|"10143184|2020-12-31|Masculino|1984-06-05|tartaruga|quente|refrigerante|Pintar quadros"
5|"10143307|2020-12-31|Masculino|1971-08-29|tartaruga|moderado|refrigerante|Pintar quadros"
0|"10142025|2020-11-04|Feminino|1968-04-22|cachorro|frio|Vinho|Assistir TV"
1|"10142456|2020-11-04|Masculino|1951-05-04|tartaruga|frio|Café|Ler livros"
2|"10143465|2020-11-04|Feminino|1971-03-23|gato|quente|Café|Assistir TV"
0|"10141699|2020-06-03|Feminino|1988-02-20|tartaruga|moderado|Café|Escrever"
1|"10141771|2020-06-03|Feminino|1952-01-30|gato|frio|Vinho|Assistir TV"
2|"10142758|2020-06-03|Masculino|1958-10-27|gato|moderado|Chá|Escutar música"
3|"10142903|2020-06-03|Masculino|1979-10-24|peixe|frio|Chá|Assistir TV"
4|"10143342|2020-06-03|Feminino|1965-08-26|gato|moderado|Café|Dormir"
0|"10141717|2020-09-18|Feminino|1973-03-01|gato|frio|Vinho|Dormir"
1|"10141918|2020-09-18|Feminino|1985-05-10|gato|frio|refrigerante|Escutar música"
2|"10142237|2020-09-18|Masculino|1951-08-15|tartaruga|quente|Vinho|Aprender algo novo"
3|"10142320|2020-09-18|Masculino|1994-10-04|gato|quente|Chá|Dormir"
4|"10142500|2020-09-18|Masculino|1984-12-24|cachorro|moderado|refrigerante|Praticar esporte"
5|"10142585|2020-09-18|Masculino|1982-11-24|peixe|quente|Chá|Pintar quadros"
6|"10142914|2020-09-18|Masculino|1983-07-07|gato|quente|Vinho|Pintar quadros"
7|"10142929|2020-09-18|Masculino|1974-10-18|peixe|moderado|Vinho|Assistir TV"
8|"10143337|2020-09-18|Feminino|1968-11-18|peixe|moderado|Chá|Aprender algo novo"
9|"10143413|2020-09-18|Feminino|1988-12-02|cachorro|moderado|Vinho|Dormir"
0|"10141802|2020-08-30|Feminino|1979-08-08|cachorro|quente|Café|Praticar esporte"
0|"10141572|2020-11-16|Feminino|1978-06-24|tartaruga|moderado|refrigerante|Pintar quadros"
1|"10142004|2020-11-16|Feminino|1983-04-14|gato|moderado|Cerveja|Aprender algo novo"
2|"10142069|2020-11-16|Feminino|1968-08-13|cachorro|moderado|Café|Ler livros"
3|"10142219|2020-11-16|Masculino|1971-08-01|cachorro|quente|Chá|Dormir"
4|"10142324|2020-11-16|Masculino|1989-06-25|gato|quente|Chá|Escrever"
5|"10142515|2020-11-16|Masculino|1980-10-15|gato|frio|Vinho|Escutar música"
6|"10142565|2020-11-16|Masculino|1974-06-09|gato|quente|refrigerante|Aprender algo novo"
7|"10142712|2020-11-16|Masculino|1983-01-18|cachorro|frio|Cerveja|Ler livros"
8|"10143324|2020-11-16|Masculino|1988-05-09|tartaruga|frio|Chá|Ler livros"
0|"10141555|2020-08-08|Feminino|1966-11-13|peixe|moderado|Cerveja|Ler livros"
1|"10141689|2020-08-08|Feminino|1961-08-28|gato|frio|Água|Dormir"
2|"10141722|2020-08-08|Feminino|1961-04-24|tartaruga|frio|Cerveja|Aprender algo novo"
3|"10142274|2020-08-08|Masculino|1988-10-30|peixe|frio|Vinho|Ler livros"
4|"10142287|2020-08-08|Masculino|1958-04-08|cachorro|moderado|Vinho|Pintar quadros"
5|"10142358|2020-08-08|Masculino|1980-04-11|gato|moderado|refrigerante|Praticar esporte"
6|"10142760|2020-08-08|Masculino|1952-09-14|gato|moderado|Café|Assistir TV"
7|"10143280|2020-08-08|Feminino|1991-01-22|gato|quente|Chá|Praticar esporte"
8|"10143358|2020-08-08|Feminino|1994-07-30|peixe|quente|Cerveja|Dormir"
9|"10143390|2020-08-08|Masculino|1981-11-02|gato|quente|Café|Aprender algo novo"
10|"10143555|2020-08-08|Feminino|1950-03-04|peixe|quente|Água|Dormir"
11|"10143557|2020-08-08|Feminino|1960-08-13|tartaruga|frio|Vinho|Praticar esporte"
12|"10143623|2020-08-08|Masculino|1975-07-16|gato|moderado|refrigerante|Praticar esporte"
0|"10141552|2020-04-27|Feminino|1989-03-27|tartaruga|quente|Vinho|Praticar esporte"
1|"10141891|2020-04-27|Feminino|1998-06-06|gato|moderado|refrigerante|Assistir TV"
2|"10142713|2020-04-27|Masculino|1952-06-22|tartaruga|moderado|refrigerante|Ler livros"
3|"10143496|2020-04-27|Masculino|1983-08-23|cachorro|moderado|Cerveja|Aprender algo novo"
0|"10141507|2020-06-25|Masculino|1961-05-22|tartaruga|quente|refrigerante|Pintar quadros"
1|"10142152|2020-06-25|Masculino|1956-01-14|gato|quente|Café|Dormir"
2|"10142288|2020-06-25|Masculino|1979-03-31|peixe|moderado|Chá|Pintar quadros"
3|"10142943|2020-06-25|Masculino|1963-03-12|peixe|quente|Vinho|Escrever"
4|"10143259|2020-06-25|Masculino|1959-10-04|peixe|frio|Chá|Aprender algo novo"
5|"10143408|2020-06-25|Masculino|1980-01-24|tartaruga|moderado|Vinho|Pintar quadros"
0|"10141928|2020-12-17|Feminino|1971-08-07|cachorro|moderado|refrigerante|Pintar quadros"
1|"10142254|2020-12-17|Masculino|1986-01-28|gato|quente|Água|Dormir"
2|"10142505|2020-12-17|Masculino|1999-07-18|gato|quente|Chá|Escutar música"
0|"10142036|2020-01-16|Feminino|1965-04-19|tartaruga|frio|Água|Escutar música"
1|"10142053|2020-01-16|Feminino|1968-10-21|peixe|quente|refrigerante|Praticar esporte"
0|"10142462|2020-02-12|Masculino|1981-10-12|peixe|frio|Café|Escutar música"
0|"10141720|2020-03-06|Feminino|1973-12-28|peixe|quente|Café|Escrever"
1|"10142356|2020-03-06|Masculino|1996-05-02|peixe|frio|Chá|Aprender algo novo"
2|"10142374|2020-03-06|Masculino|1970-08-29|tartaruga|moderado|Café|Pintar quadros"
3|"10142383|2020-03-06|Masculino|1957-01-16|gato|moderado|refrigerante|Escutar música"
4|"10142784|2020-03-06|Masculino|1983-02-07|tartaruga|moderado|Chá|Praticar esporte"
5|"10143583|2020-03-06|Feminino|1990-09-22|gato|moderado|refrigerante|Aprender algo novo"
0|"10141854|2020-03-02|Feminino|1968-03-10|tartaruga|quente|Cerveja|Pintar quadros"
1|"10142243|2020-03-02|Masculino|1998-04-20|tartaruga|moderado|Chá|Ler livros"
2|"10142454|2020-03-02|Masculino|1972-05-19|gato|frio|Vinho|Ler livros"
3|"10142553|2020-03-02|Masculino|1974-10-21|gato|frio|Chá|Aprender algo novo"
0|"10141587|2020-02-21|Feminino|1991-11-09|gato|frio|Chá|Praticar esporte"
1|"10141630|2020-02-21|Feminino|1995-05-22|tartaruga|moderado|Chá|Escutar música"
2|"10142002|2020-02-21|Feminino|1972-01-23|gato|moderado|Vinho|Ler livros"
3|"10142503|2020-02-21|Masculino|1971-10-11|gato|moderado|Água|Pintar quadros"
4|"10142625|2020-02-21|Feminino|1957-10-01|peixe|quente|Água|Pintar quadros"
5|"10142961|2020-02-21|Masculino|1964-11-15|cachorro|frio|Cerveja|Dormir"
6|"10143252|2020-02-21|Masculino|1953-09-07|gato|quente|Cerveja|Escutar música"
7|"10143356|2020-02-21|Feminino|1999-06-13|tartaruga|moderado|Cerveja|Praticar esporte"
8|"10143400|2020-02-21|Masculino|1960-05-06|cachorro|quente|Vinho|Aprender algo novo"
9|"10143512|2020-02-21|Feminino|1967-07-05|tartaruga|frio|Cerveja|Aprender algo novo"
0|"10142159|2020-05-03|Masculino|1969-04-08|cachorro|moderado|Cerveja|Assistir TV"
1|"10142889|2020-05-03|Masculino|1997-06-15|tartaruga|quente|refrigerante|Escutar música"
2|"10143473|2020-05-03|Feminino|1987-06-21|peixe|moderado|Café|Dormir"
3|"10143616|2020-05-03|Masculino|1999-04-06|gato|quente|Vinho|Assistir TV"
0|"10141695|2020-05-29|Feminino|1998-04-13|gato|quente|Chá|Praticar esporte"
1|"10141724|2020-05-29|Feminino|1976-10-12|tartaruga|frio|refrigerante|Ler livros"
2|"10141740|2020-05-29|Masculino|1985-09-26|gato|moderado|Chá|Aprender algo novo"
3|"10141796|2020-05-29|Feminino|1980-06-19|cachorro|moderado|Água|Ler livros"
4|"10141811|2020-05-29|Masculino|1965-09-23|peixe|quente|Vinho|Escrever"
5|"10142891|2020-05-29|Masculino|1951-01-17|cachorro|moderado|Café|Aprender algo novo"
0|"10141546|2020-11-09|Feminino|1959-02-08|gato|frio|refrigerante|Escrever"
1|"10141647|2020-11-09|Feminino|1973-05-17|gato|quente|Vinho|Dormir"
2|"10141840|2020-11-09|Feminino|1978-01-06|peixe|quente|Café|Escutar música"
3|"10142176|2020-11-09|Masculino|1981-02-21|gato|quente|Água|Ler livros"
4|"10142631|2020-11-09|Feminino|1977-06-08|peixe|frio|Chá|Assistir TV"
5|"10143059|2020-11-09|Masculino|1958-12-26|gato|quente|Água|Praticar esporte"
0|"10141730|2020-03-13|Feminino|1999-12-12|tartaruga|frio|refrigerante|Ler livros"
1|"10141809|2020-03-13|Feminino|1957-08-03|peixe|quente|Cerveja|Pintar quadros"
2|"10142523|2020-03-13|Masculino|1964-10-19|cachorro|quente|Água|Escutar música"
3|"10142570|2020-03-13|Masculino|1966-12-12|tartaruga|moderado|refrigerante|Praticar esporte"
4|"10142732|2020-03-13|Masculino|1971-09-10|gato|quente|Cerveja|Dormir"
5|"10143100|2020-03-13|Masculino|1976-03-13|cachorro|quente|refrigerante|Aprender algo novo"
6|"10143287|2020-03-13|Feminino|1990-06-05|cachorro|moderado|Chá|Dormir"
7|"10143410|2020-03-13|Feminino|1988-02-03|cachorro|frio|Cerveja|Aprender algo novo"
8|"10143485|2020-03-13|Masculino|1954-02-19|gato|moderado|Chá|Aprender algo novo"
9|"10143510|2020-03-13|Masculino|1951-02-09|peixe|frio|Café|Assistir TV"
10|"10143554|2020-03-13|Feminino|1979-08-08|peixe|quente|Cerveja|Aprender algo novo"
0|"10142006|2020-02-19|Feminino|1978-01-08|peixe|moderado|Vinho|Dormir"
1|"10142151|2020-02-19|Masculino|1971-12-12|gato|frio|Vinho|Aprender algo novo"
2|"10142354|2020-02-19|Masculino|1990-07-16|peixe|frio|Água|Pintar quadros"
3|"10143274|2020-02-19|Feminino|1972-03-08|peixe|moderado|Vinho|Ler livros"
0|"10141721|2020-05-31|Feminino|1964-08-08|tartaruga|moderado|Chá|Ler livros"
0|"10141576|2020-09-08|Masculino|1983-12-17|gato|frio|refrigerante|Aprender algo novo"
1|"10141803|2020-09-08|Feminino|1977-05-19|gato|frio|Café|Escutar música"
2|"10142010|2020-09-08|Feminino|1981-08-03|gato|moderado|Água|Assistir TV"
3|"10142014|2020-09-08|Feminino|1989-08-08|tartaruga|moderado|Cerveja|Aprender algo novo"
4|"10142767|2020-09-08|Masculino|1992-09-30|peixe|quente|Vinho|Dormir"
0|"10141853|2020-02-16|Feminino|1993-12-08|tartaruga|moderado|Vinho|Ler livros"
1|"10142140|2020-02-16|Feminino|1970-06-18|peixe|moderado|Café|Praticar esporte"
2|"10142166|2020-02-16|Masculino|1998-12-06|peixe|moderado|Água|Assistir TV"
3|"10142669|2020-02-16|Masculino|1954-05-03|tartaruga|frio|Café|Escrever"
4|"10142765|2020-02-16|Masculino|1956-04-11|gato|frio|Chá|Praticar esporte"
5|"10142936|2020-02-16|Masculino|1964-09-12|peixe|moderado|Cerveja|Praticar esporte"
6|"10143226|2020-02-16|Masculino|1981-01-15|peixe|quente|refrigerante|Ler livros"
0|"10141525|2020-08-21|Feminino|1984-01-02|peixe|moderado|Chá|Assistir TV"
1|"10141603|2020-08-21|Feminino|1994-06-27|gato|quente|Cerveja|Escutar música"
2|"10141619|2020-08-21|Feminino|1964-01-26|tartaruga|frio|Chá|Assistir TV"
3|"10142157|2020-08-21|Masculino|1957-06-13|gato|quente|Água|Praticar esporte"
4|"10142174|2020-08-21|Masculino|1979-06-07|gato|moderado|refrigerante|Assistir TV"
5|"10143099|2020-08-21|Masculino|1993-08-20|tartaruga|quente|Cerveja|Ler livros"
6|"10143162|2020-08-21|Feminino|1960-07-06|tartaruga|frio|Água|Praticar esporte"
7|"10143513|2020-08-21|Masculino|1989-01-24|gato|frio|Água|Ler livros"
0|"10141509|2020-11-08|Masculino|1979-09-24|peixe|quente|Água|Aprender algo novo"
1|"10142233|2020-11-08|Masculino|1993-05-15|peixe|frio|Água|Praticar esporte"
2|"10142448|2020-11-08|Masculino|1965-08-31|peixe|frio|Café|Escutar música"
3|"10142741|2020-11-08|Masculino|1957-03-14|gato|frio|Café|Escutar música"
4|"10142786|2020-11-08|Masculino|1960-02-19|gato|moderado|Chá|Escutar música"
5|"10142791|2020-11-08|Masculino|1984-04-16|peixe|frio|refrigerante|Aprender algo novo"
6|"10142968|2020-11-08|Masculino|1971-08-04|tartaruga|quente|Chá|Escrever"
0|"10142148|2020-08-14|Feminino|1975-04-02|cachorro|moderado|Água|Aprender algo novo"
1|"10142539|2020-08-14|Masculino|1962-09-07|gato|frio|Cerveja|Escrever"
2|"10142847|2020-08-14|Masculino|1957-10-25|tartaruga|frio|Cerveja|Pintar quadros"
0|"10142420|2020-06-12|Masculino|1952-04-08|gato|moderado|Chá|Dormir"
1|"10143175|2020-06-12|Masculino|1964-06-02|gato|frio|Cerveja|Dormir"
0|"10141623|2020-10-22|Feminino|1986-03-06|gato|quente|refrigerante|Escrever"
1|"10141974|2020-10-22|Feminino|1970-11-04|gato|moderado|Cerveja|Praticar esporte"
2|"10142213|2020-10-22|Masculino|1963-08-15|peixe|frio|refrigerante|Assistir TV"
3|"10142457|2020-10-22|Masculino|1978-11-26|tartaruga|quente|Água|Escutar música"
4|"10142490|2020-10-22|Masculino|1977-02-12|tartaruga|moderado|Vinho|Pintar quadros"
5|"10143083|2020-10-22|Masculino|1957-03-24|tartaruga|moderado|Vinho|Escutar música"
6|"10143254|2020-10-22|Masculino|1963-03-14|gato|moderado|Café|Pintar quadros"
7|"10143479|2020-10-22|Masculino|1960-12-06|tartaruga|quente|refrigerante|Escrever"
0|"10141614|2020-03-31|Feminino|1971-12-12|cachorro|frio|Vinho|Escutar música"
1|"10141690|2020-03-31|Feminino|1988-04-09|peixe|quente|Cerveja|Praticar esporte"
2|"10142482|2020-03-31|Masculino|1961-04-14|tartaruga|frio|Vinho|Pintar quadros"
3|"10143021|2020-03-31|Masculino|1951-09-16|gato|quente|Chá|Escrever"
4|"10143155|2020-03-31|Masculino|1969-10-28|cachorro|frio|Cerveja|Assistir TV"
5|"10143317|2020-03-31|Feminino|1997-02-16|gato|frio|refrigerante|Aprender algo novo"
6|"10143404|2020-03-31|Feminino|1973-01-18|gato|quente|Café|Praticar esporte"
7|"10143620|2020-03-31|Masculino|1965-10-21|peixe|moderado|refrigerante|Ler livros"
0|"10142071|2020-10-12|Masculino|1989-03-10|gato|moderado|Água|Aprender algo novo"
1|"10143000|2020-10-12|Masculino|1976-06-28|cachorro|moderado|Chá|Praticar esporte"
2|"10143304|2020-10-12|Feminino|1979-12-21|tartaruga|frio|Cerveja|Aprender algo novo"
0|"10141773|2020-05-12|Feminino|1999-11-17|tartaruga|frio|Cerveja|Escutar música"
1|"10142073|2020-05-12|Masculino|1950-03-02|cachorro|frio|Água|Dormir"
2|"10142381|2020-05-12|Masculino|1963-04-21|gato|frio|Vinho|Ler livros"
3|"10142546|2020-05-12|Masculino|1971-06-04|gato|quente|Vinho|Escutar música"
4|"10142742|2020-05-12|Masculino|1987-03-22|cachorro|quente|Café|Pintar quadros"
5|"10143593|2020-05-12|Feminino|1954-05-17|peixe|moderado|Café|Assistir TV"
0|"10141886|2020-06-13|Feminino|1996-10-09|peixe|frio|Cerveja|Pintar quadros"
1|"10142532|2020-06-13|Masculino|1950-08-19|gato|quente|Água|Escrever"
2|"10142564|2020-06-13|Masculino|1979-02-11|peixe|moderado|Cerveja|Aprender algo novo"
3|"10142753|2020-06-13|Masculino|1959-12-13|tartaruga|moderado|refrigerante|Dormir"
4|"10143334|2020-06-13|Feminino|1989-03-09|cachorro|quente|Vinho|Pintar quadros"
0|"10141752|2020-12-02|Masculino|1950-01-24|peixe|quente|Vinho|Aprender algo novo"
1|"10142208|2020-12-02|Masculino|1964-05-03|peixe|frio|Café|Aprender algo novo"
2|"10142428|2020-12-02|Masculino|1976-01-28|gato|quente|Cerveja|Escutar música"
3|"10142649|2020-12-02|Feminino|1987-05-24|tartaruga|moderado|Café|Escutar música"
4|"10143266|2020-12-02|Masculino|1990-12-09|gato|frio|Água|Praticar esporte"
5|"10143271|2020-12-02|Feminino|1986-11-04|tartaruga|quente|Café|Dormir"
6|"10143367|2020-12-02|Masculino|1958-04-04|gato|moderado|Café|Aprender algo novo"
7|"10143463|2020-12-02|Masculino|1988-01-31|gato|moderado|Vinho|Aprender algo novo"
8|"10143529|2020-12-02|Masculino|1974-04-23|cachorro|quente|Vinho|Ler livros"
9|"10143627|2020-12-02|Masculino|1963-06-16|peixe|moderado|Água|Ler livros"
0|"10141944|2020-10-08|Feminino|1969-08-16|gato|quente|Água|Aprender algo novo"
1|"10142042|2020-10-08|Masculino|1976-05-05|cachorro|quente|Cerveja|Praticar esporte"
2|"10142488|2020-10-08|Masculino|1984-03-11|peixe|moderado|Cerveja|Assistir TV"
3|"10143534|2020-10-08|Masculino|1972-02-13|gato|quente|Vinho|Escutar música"
4|"10143572|2020-10-08|Feminino|1980-08-23|tartaruga|moderado|Cerveja|Assistir TV"
0|"10141825|2020-04-07|Feminino|1954-08-05|gato|quente|Café|Praticar esporte"
1|"10142067|2020-04-07|Feminino|1974-03-17|gato|quente|refrigerante|Dormir"
2|"10142797|2020-04-07|Masculino|1962-01-22|peixe|moderado|refrigerante|Praticar esporte"
3|"10142920|2020-04-07|Masculino|1985-07-28|tartaruga|moderado|Cerveja|Escutar música"
4|"10143090|2020-04-07|Masculino|1990-04-05|cachorro|quente|Vinho|Escrever"
5|"10143385|2020-04-07|Feminino|1952-05-26|gato|quente|Cerveja|Aprender algo novo"
6|"10143441|2020-04-07|Masculino|1956-02-20|tartaruga|moderado|Café|Escutar música"
0|"10141573|2020-06-10|Feminino|1973-01-14|peixe|moderado|Café|Praticar esporte"
1|"10142135|2020-06-10|Feminino|1985-12-09|gato|frio|Cerveja|Ler livros"
2|"10142163|2020-06-10|Masculino|1983-02-19|tartaruga|moderado|Vinho|Ler livros"
3|"10142502|2020-06-10|Masculino|1972-10-11|peixe|quente|Vinho|Ler livros"
4|"10142674|2020-06-10|Masculino|1951-04-21|gato|moderado|Vinho|Assistir TV"
5|"10143234|2020-06-10|Masculino|1958-01-31|gato|quente|Água|Dormir"
0|"10141594|2020-09-21|Feminino|1953-02-20|gato|moderado|Vinho|Escutar música"
1|"10142431|2020-09-21|Masculino|1994-04-11|peixe|quente|Cerveja|Ler livros"
2|"10142837|2020-09-21|Masculino|1950-05-30|gato|moderado|Vinho|Escrever"
3|"10143255|2020-09-21|Masculino|1984-05-09|cachorro|moderado|refrigerante|Ler livros"
4|"10143326|2020-09-21|Masculino|1988-06-25|tartaruga|moderado|Vinho|Escrever"
5|"10143366|2020-09-21|Masculino|1991-01-13|peixe|frio|refrigerante|Pintar quadros"
6|"10143384|2020-09-21|Feminino|1978-03-28|peixe|moderado|refrigerante|Pintar quadros"
7|"10143405|2020-09-21|Feminino|1970-11-25|gato|quente|Vinho|Dormir"
8|"10143452|2020-09-21|Feminino|1954-03-12|peixe|moderado|refrigerante|Escutar música"
9|"10143592|2020-09-21|Masculino|1980-02-26|gato|frio|refrigerante|Ler livros"
0|"10142020|2020-12-21|Feminino|1973-08-02|gato|quente|refrigerante|Dormir"
1|"10142211|2020-12-21|Masculino|1995-12-16|peixe|frio|Água|Assistir TV"
2|"10142252|2020-12-21|Masculino|1990-10-25|gato|moderado|Água|Ler livros"
3|"10142277|2020-12-21|Masculino|1961-09-13|tartaruga|quente|refrigerante|Dormir"
0|"10142396|2020-03-30|Masculino|1977-12-11|gato|moderado|Chá|Pintar quadros"
1|"10143052|2020-03-30|Masculino|1966-06-22|tartaruga|frio|refrigerante|Dormir"
2|"10143153|2020-03-30|Feminino|1988-04-20|cachorro|moderado|Água|Aprender algo novo"
3|"10143374|2020-03-30|Masculino|1993-06-23|tartaruga|frio|Vinho|Dormir"
4|"10143446|2020-03-30|Feminino|1957-08-02|tartaruga|moderado|Chá|Praticar esporte"
5|"10143560|2020-03-30|Masculino|1967-08-31|gato|frio|Vinho|Praticar esporte"
0|"10141927|2020-08-28|Feminino|1996-04-23|tartaruga|frio|Cerveja|Pintar quadros"
1|"10142948|2020-08-28|Masculino|1968-07-12|gato|moderado|Café|Praticar esporte"
2|"10143239|2020-08-28|Masculino|1990-08-23|peixe|quente|Água|Praticar esporte"
0|"10142149|2020-06-06|Masculino|1954-12-08|peixe|frio|refrigerante|Dormir"
1|"10142730|2020-06-06|Masculino|1981-08-06|tartaruga|frio|Água|Pintar quadros"
2|"10143248|2020-06-06|Masculino|1972-11-29|peixe|quente|Café|Assistir TV"
0|"10141782|2020-09-17|Feminino|1995-06-04|gato|frio|Vinho|Assistir TV"
1|"10141946|2020-09-17|Feminino|1979-03-22|gato|moderado|Chá|Assistir TV"
2|"10142517|2020-09-17|Masculino|1960-07-19|gato|frio|Vinho|Dormir"
3|"10142895|2020-09-17|Masculino|1992-05-07|tartaruga|frio|Vinho|Praticar esporte"
4|"10143379|2020-09-17|Masculino|1979-02-04|tartaruga|moderado|refrigerante|Praticar esporte"
5|"10143618|2020-09-17|Masculino|1989-03-14|peixe|frio|refrigerante|Ler livros"
0|"10141512|2020-04-16|Masculino|1999-04-11|tartaruga|frio|refrigerante|Aprender algo novo"
1|"10141589|2020-04-16|Feminino|1968-06-06|gato|moderado|Cerveja|Aprender algo novo"
2|"10141637|2020-04-16|Feminino|1967-03-25|gato|quente|Chá|Assistir TV"
3|"10142677|2020-04-16|Masculino|1968-06-23|tartaruga|quente|Água|Assistir TV"
0|"10141973|2020-10-02|Feminino|1955-10-23|gato|frio|Água|Aprender algo novo"
1|"10142346|2020-10-02|Masculino|1996-01-29|peixe|frio|refrigerante|Assistir TV"
2|"10142401|2020-10-02|Masculino|1954-06-13|gato|moderado|Cerveja|Praticar esporte"
3|"10142534|2020-10-02|Masculino|1980-09-26|peixe|frio|Café|Escutar música"
4|"10142746|2020-10-02|Masculino|1963-08-12|tartaruga|moderado|Chá|Escrever"
5|"10142911|2020-10-02|Masculino|1956-02-16|gato|quente|Água|Praticar esporte"
6|"10143299|2020-10-02|Feminino|1969-01-20|peixe|quente|Chá|Escutar música"
7|"10143382|2020-10-02|Feminino|1998-02-14|gato|frio|Cerveja|Aprender algo novo"
0|"10141903|2020-04-05|Feminino|1978-02-26|peixe|moderado|Cerveja|Assistir TV"
1|"10142496|2020-04-05|Masculino|1978-11-07|gato|moderado|Chá|Assistir TV"
2|"10142633|2020-04-05|Feminino|1981-03-22|gato|quente|Vinho|Assistir TV"
3|"10142662|2020-04-05|Masculino|1954-09-24|tartaruga|moderado|Água|Assistir TV"
4|"10142841|2020-04-05|Masculino|1983-11-30|gato|quente|refrigerante|Pintar quadros"
5|"10143076|2020-04-05|Masculino|1998-09-18|tartaruga|moderado|Café|Pintar quadros"
6|"10143617|2020-04-05|Masculino|1962-06-14|gato|moderado|Vinho|Ler livros"
0|"10141592|2020-08-01|Feminino|1964-01-04|gato|moderado|refrigerante|Praticar esporte"
1|"10141675|2020-08-01|Feminino|1999-09-12|peixe|frio|refrigerante|Pintar quadros"
2|"10142394|2020-08-01|Masculino|1980-09-21|peixe|moderado|Vinho|Aprender algo novo"
3|"10142571|2020-08-01|Masculino|1970-02-18|cachorro|frio|Café|Escrever"
4|"10142761|2020-08-01|Masculino|1964-12-16|cachorro|moderado|Café|Ler livros"
5|"10142964|2020-08-01|Masculino|1972-12-01|gato|frio|Vinho|Aprender algo novo"
6|"10143313|2020-08-01|Feminino|1976-12-29|gato|frio|Água|Dormir"
7|"10143490|2020-08-01|Masculino|1958-05-03|gato|moderado|Água|Praticar esporte"
0|"10141558|2020-11-28|Feminino|1958-05-24|gato|moderado|Café|Escutar música"
1|"10141567|2020-11-28|Feminino|1965-03-04|cachorro|quente|Cerveja|Escrever"
2|"10141604|2020-11-28|Feminino|1954-08-01|gato|moderado|refrigerante|Escrever"
3|"10141921|2020-11-28|Feminino|1966-09-01|cachorro|quente|Chá|Assistir TV"
4|"10141976|2020-11-28|Feminino|1967-09-14|peixe|quente|Vinho|Escutar música"
5|"10143388|2020-11-28|Feminino|1975-04-17|gato|moderado|Vinho|Dormir"
6|"10143439|2020-11-28|Feminino|1987-03-05|tartaruga|frio|Café|Escutar música"
7|"10143511|2020-11-28|Feminino|1983-10-09|gato|frio|Água|Praticar esporte"
0|"10142397|2020-03-08|Masculino|1967-08-18|gato|quente|Café|Assistir TV"
